32 	0.8929 	0.0614 	0.0614 	0 	0 	0 	
31 	0.7986 	0.0614 	0.0614 	0 	0 	0 	
30 	0.7627 	0.0586 	0.0586 	0 	0 	0 	
29 	0.8088 	0.0586 	0.0586 	0 	0 	0 	
28 	0.8707 	0.0586 	0.0586 	0 	0 	0 	
27 	0.8112 	0.0599 	0.0599 	0 	0 	0 	
26 	0.8542 	0.0648 	0.0648 	0 	0 	0 	
25 	1.1312 	0.0716 	0.0716 	0 	0 	0 	
24 	0.8178 	0.1149 	0.1149 	0 	0 	0 	
23 	0.832 	0.0592 	0.0592 	0 	0 	0 	
22 	0.9159 	0.0817 	0.0817 	0 	0 	0 	
21 	0.8737 	0.1026 	0.1026 	0 	0 	0 	
20 	0.7587 	0.0819 	0.0614 	0 	0 	32 	
19 	1.7015 	0.0819 	0.0614 	0 	0 	31 	
18 	0.7907 	0.0782 	0.0586 	0 	0 	30 	
17 	0.7651 	0.0782 	0.0586 	0 	0 	29 	
16 	0.7616 	0.0782 	0.0586 	0 	0 	28 	
15 	0.7984 	0.0819 	0.0819 	19 	0 	20 	
14 	0.7584 	0.0798 	0.0599 	0 	0 	27 	
13 	2.0593 	0.0863 	0.0648 	0 	0 	26 	
12 	3.5378 	0.0863 	0.0782 	16 	17 	18 	
11 	3.6904 	0.0954 	0.0798 	14 	0 	15 	
10 	2.1234 	0.0954 	0.0716 	0 	0 	25 	
9 	0.7889 	0.1532 	0.1149 	12 	0 	13 	
8 	2.0365 	0.1532 	0.1149 	0 	0 	24 	
7 	2.2257 	0.079 	0.0592 	0 	0 	23 	
6 	1.2401 	0.0954 	0.0954 	10 	0 	11 	
5 	3.1737 	0.1532 	0.1532 	8 	0 	9 	
4 	3.8047 	0.1089 	0.0817 	0 	0 	22 	
3 	5.3609 	0.1368 	0.1026 	6 	0 	7 	
2 	5.4794 	0.1368 	0.1026 	0 	0 	21 	
1 	0.7526 	0.1368 	0.1089 	4 	0 	5 	
0 	0.8314 	0.1848 	0.1386 	1 	2 	3 	
